Rk,Player,School,Conf,G,Punts,Yds,Avg,Player-additional
1,Bryce Baringer,Michigan State,Big Ten,12,50,2450,49.0,bryce-baringer-1
2,Jeremy Crawshaw*,Florida,SEC,13,35,1678,47.9,jeremy-crawshaw-1
3,Kyle Ulbrich*,Middle Tennessee State,CUSA,13,67,3157,47.1,kyle-ulbrich-1
4,Michael Turk*,Oklahoma,Big 12,13,63,2948,46.8,michael-turk-1
5,Ben Kiernan*,North Carolina,ACC,14,48,2245,46.8,ben-kiernan-1
6,Mason Fletcher*,Cincinnati,American,13,62,2870,46.3,mason-fletcher-1
7,Ryan Rehkow*,Brigham Young,Ind,13,40,1847,46.2,ryan-rehkow-1
8,Luke Loecher*,Oregon State,Pac-12,13,36,1663,46.2,luke-loecher-1
9,Jack Browning*,San Diego State,MWC,13,68,3135,46.1,jack-browning-1
10,Kai Kroeger*,South Carolina,SEC,13,58,2675,46.1,kai-kroeger-1
11,Eddie Czaplicki,Arizona State,Pac-12,12,49,2257,46.1,eddie-czaplicki-1
12,Joe Doyle*,Memphis,American,13,49,2249,45.9,joe-doyle-1
13,Daniel Sparks,Virginia,ACC,10,46,2113,45.9,daniel-sparks-1
14,Kyle Ostendorp,Arizona,Pac-12,12,34,1546,45.5,kyle-ostendorp-1
15,Tory Taylor*,Iowa,Big Ten,13,82,3725,45.4,tory-taylor-1
16,Riley Thompson,Florida Atlantic,CUSA,12,61,2770,45.4,riley-thompson-1
17,Matt Hayball,Vanderbilt,SEC,12,58,2634,45.4,matt-hayball-1
18,Jesse Mirco*,Ohio State,Big Ten,13,49,2223,45.4,jesse-mirco-1
19,Jamieson Sheahan,California,Pac-12,12,64,2897,45.3,jamieson-sheahan-1
20,Louis Hedley,Miami (FL),ACC,12,46,2084,45.3,louis-hedley-1
21,Kyle Greenwell*,UAB,CUSA,13,44,1992,45.3,kyle-greenwell-1
22,Colton Spangler*,Maryland,Big Ten,13,56,2522,45.0,colton-spangler-1
23,Lucas Dean*,UTSA,CUSA,14,41,1847,45.0,lucas-dean-1
24,Logan Ward*,Oklahoma State,Big 12,12,37,1665,45.0,logan-ward-1
25,Mark Vassett*,Louisville,ACC,13,52,2321,44.6,mark-vassett-1
26,Ty Zentner*,Kansas State,Big 12,14,59,2625,44.5,ty-zentner-1
