Tank Dell,WR,109,1398,12.8,63,17
Charlie Jones,WR,110,1361,12.4,60,12
Rashee Rice,WR,96,1355,14.1,75,10
Malachi Corley,WR,101,1293,12.8,76,11
Jalin Hyatt,WR,67,1267,18.9,78,15
Marvin Harrison Jr.,WR,77,1263,16.4,58,14
Keylon Stokes,WR,76,1224,16.1,76,8
Xavier Hutchinson,WR,107,1171,10.9,38,6
Emeka Egbuka,WR,74,1151,15.6,69,10
Rome Odunze,WR,75,1145,15.3,61,7
Zakhari Franklin,WR,93,1137,12.2,43,15
Tory Horton,WR,71,1131,15.9,69,8
Jamari Thrash,WR,61,1122,18.4,75,7
Dorian Singer,WR,66,1105,16.7,73,6
Jalen McMillan,WR,79,1098,13.9,84,9
A.T. Perry,WR,81,1096,13.5,68,11
Jalen Moreno-Cropper,WR,84,1093,13.0,75,5
Isaiah Winstead,WR,88,1085,12.3,67,6
Marvin Mims Jr.,WR,54,1083,20.1,77,6
Zay Flowers,WR,78,1077,13.8,69,12
Elijah Cooks,WR,69,1076,15.6,52,10
Quentin Johnston,WR,60,1069,17.8,76,6
Jared Wayne,WR,60,1062,17.7,66,5
Trey Palmer,WR,71,1043,14.7,87,9
Tyrin Smith,WR,71,1039,14.6,76,7
Tyler Hudson,WR,69,1034,15.0,54,2
Jacob Cowing,WR,85,1034,12.2,39,7
Josh Downs,WR,94,1029,10.9,43,11
Malik Nabers,WR,72,1017,14.1,75,3
C.J. Johnson,WR,67,1016,15.2,74,10
Kris Thornton,WR,59,1015,17.2,54,7
Sam Pinckney,WR,71,996,14.0,48,3
DeMario Douglas,WR,79,993,12.6,51,6
Joshua Cephus,WR,87,985,11.3,65,6
Malik Heath,WR,60,971,16.2,53,5
Oronde Gadsden II,TE,61,969,15.9,46,6
Jeremiah Hunter,WR,60,965,16.1,58,5
Ali Jennings,WR,54,959,17.8,77,9
Elijah Spencer,WR,57,943,16.5,60,9
Brock Bowers,TE,63,942,15.0,78,7
Jaylin Lane,WR,69,940,13.6,89,5
Tre Harris,WR,65,935,14.4,64,10
Shocky Jacques-Louis,WR,74,931,12.6,41,2
Antwane Wells Jr.,WR,68,928,13.6,72,6
Khaleb Hood,WR,87,925,10.6,46,3
Brian Cobbs,WR,76,923,12.1,44,5
Trea Shropshire,WR,41,923,22.5,74,6
Devontez Walker,WR,58,921,15.9,56,11
Jose Barbon,WR,72,918,12.8,78,2
Matt Landers,WR,47,901,19.2,59,8
Tyler Scott,WR,54,899,16.6,76,9
Johnny Wilson,WR,43,897,20.9,78,5
Troy Franklin,WR,61,891,14.6,67,9
Jason Brownlee,WR,55,891,16.2,76,8
Dalton Kincaid,TE,70,890,12.7,37,8
Ronnie Bell,WR,62,889,14.3,49,4
Sam Wiglusz,WR,73,877,12.0,75,11
Bradley Rozner,WR,44,876,19.9,78,10
Jordan Addison,WR,59,875,14.8,75,8
Jalon Calhoun,WR,62,873,14.1,51,4
Daewood Davis,WR,63,872,13.8,62,7
Jaylen Hall,WR,68,869,12.8,52,6
Devin Voisin,WR,64,867,13.5,47,5
Elijhah Badger,WR,70,866,12.4,39,7
Tez Johnson,WR,56,863,15.4,74,4
Jonathan Mingo,WR,51,861,16.9,72,5
JuanCarlos Santana,WR,53,859,16.2,59,7
Alex Adams,WR,63,855,13.6,80,9
Nikko Remigio,WR,74,852,11.5,39,6
Tyrone Howell,WR,50,852,17.0,89,6
Dominic Lovett,WR,56,846,15.1,79,3
Justin Marshall,WR,64,837,13.1,69,9
Jerjuan Newton,WR,53,830,15.7,43,9
Jayshon Jackson,WR,73,823,11.3,43,3
Jalen Wayne,WR,58,817,14.1,64,9
Jake Bobo,WR,57,817,14.3,40,7
Corey Crooms Jr.,WR,57,814,14.3,75,5
Caullin Lacy,WR,65,813,12.5,44,6
Brennan Presley,WR,67,813,12.1,55,2
Michael Jefferson,WR,51,810,15.9,63,7
Michael Mayer,TE,67,809,12.1,37,9
Antoine Green,WR,43,798,18.6,80,7
Keon Coleman,WR,58,798,13.8,51,7
Javon Baker,WR,56,796,14.2,53,5
Daniel George,WR,67,793,11.8,43,2
Grant DuBose,WR,64,792,12.4,52,9
Jared Brown,WR,49,789,16.1,75,6
Tahj Washington,WR,50,785,15.7,61,6
Will Sheppard,WR,60,776,12.9,31,9
Jacoby Jones,WR,45,776,17.2,48,6
Corey Gammage,WR,52,774,14.9,57,6
Mac Hippenhammer,WR,54,769,14.2,58,9
Ladd McConkey,WR,58,762,13.1,37,7
