Ollie Gordon II,RB,285,1732,6.1,75,21
Kimani Vidal,RB,297,1661,5.6,69,14
Cody Schrader,RB,276,1627,5.9,52,14
Tahj Brooks,RB,290,1541,5.3,46,10
Omarion Hampton,RB,253,1504,5.9,68,15
RJ Harvey,RB,226,1416,6.3,92,16
Quinton Cooley,RB,221,1401,6.3,60,16
Peny Boone,RB,194,1400,7.2,71,15
Makhi Hughes,RB,258,1378,5.3,58,7
Marcus Carroll,RB,274,1350,4.9,63,13
Ashton Jeanty,RB,220,1347,6.1,68,14
Audric Estime,RB,210,1341,6.4,80,18
Ismail Mahdi,RB,223,1331,6.0,65,10
Jaydn Ott,RB,245,1305,5.3,66,12
Antario Brown,RB,212,1296,6.1,80,10
Devin Neal,RB,203,1280,6.3,75,16
Kyle Monangai,RB,242,1262,5.2,55,8
Blake Corum,RB,258,1245,4.8,59,27
DJ Giddens,RB,223,1226,5.5,43,10
Emani Bailey,RB,223,1209,5.4,74,8
Dillon Johnson,RB,233,1195,5.1,53,16
Kairee Robinson,RB,170,1194,7.0,52,18
Jacory Croskey-Merritt,RB,189,1190,6.3,55,17
Damien Martinez,RB,194,1185,6.1,64,9
Bucky Irving,RB,186,1180,6.3,56,11
Quinshon Judkins,RB,271,1158,4.3,40,15
Kay'Ron Lynch-Adams,RB,236,1157,4.9,47,12
Blake Watson,RB,192,1152,6.0,69,14
Jonathon Brooks,RB,187,1139,6.1,67,10
Rasheen Ali,RB,212,1135,5.4,64,15
Jayden Daniels,QB,135,1134,8.4,85,10
Frank Gore Jr.,RB,231,1131,4.9,75,10
Ray Davis,RB,199,1129,5.7,75,14
Jawhar Jordan,RB,181,1128,6.2,74,13
Thomas Castellanos,QB,215,1113,5.2,45,13
Kaidon Salter,QB,163,1089,6.7,52,12
Rashad Amos,RB,210,1075,5.1,66,13
LeQuint Allen,RB,245,1064,4.3,56,9
Jamal Haynes,RB,174,1059,6.1,67,7
Corey Kiner,RB,192,1047,5.5,68,5
Marquez Cooper,RB,227,1043,4.6,39,4
Ayo Adeyi,RB,143,1017,7.1,47,6
Jaylen Wright,RB,137,1013,7.4,82,4
La'Damian Webb,RB,186,1007,5.4,65,16
Jalen Buckley,RB,189,1003,5.3,75,10
Braelon Allen,RB,181,984,5.4,52,12
Malik Sherrod,RB,172,966,5.6,72,9
Phil Mafah,RB,179,965,5.4,49,13
Emmanuel Michel,FB,204,950,4.7,54,11
Harrison Waylee,RB,164,947,5.8,75,5
Diego Pavia,QB,177,928,5.2,44,7
TreVeyon Henderson,RB,156,926,5.9,75,11
Jarquez Hunter,RB,159,909,5.7,67,7
Trey Benson,RB,156,905,5.8,85,14
Kaytron Allen,RB,172,902,5.2,50,6
Bryson Daily,QB,215,901,4.2,62,7
Malik Jackson,RB,146,897,6.1,68,7
Jase McClellan,RB,180,890,4.9,34,8
Anthony Watkins,RB,197,889,4.5,46,4
Jalen White,RB,160,889,5.6,45,9
Daijun Edwards,RB,164,881,5.4,62,13
Jonah Coleman,RB,128,871,6.8,59,5
Bhayshul Tuten,RB,173,863,5.0,49,10
Carson Steele,RB,167,847,5.1,42,6
Quali Conley,RB,131,842,6.4,68,9
Jahiem White,RB,109,842,7.7,53,4
Nate Noel,RB,173,834,4.8,68,5
Will Shipley,RB,167,827,5.0,33,5
TJ Harden,RB,156,827,5.3,62,8
Leshon Williams,RB,170,821,4.8,82,1
MarShawn Lloyd,RB,116,820,7.1,56,9
Jordan Waters,RB,153,819,5.4,83,12
Kyron Drones,QB,166,818,4.9,59,5
Montrell Johnson Jr.,RB,152,817,5.4,52,5
Deion Hankins,RB,157,812,5.2,54,5
Sieh Bangura,RB,178,811,4.6,26,7
Isaac Guerendo,RB,132,810,6.1,73,11
Byrum Brown,QB,203,809,4.0,60,11
Devin Mockobee,RB,172,807,4.7,65,6
Davon Booth,RB,120,805,6.7,65,6
Jermaine Brown Jr.,RB,158,803,5.1,40,12
Darius Taylor,RB,138,799,5.8,43,5
Nathan Carter,RB,185,798,4.3,44,4
CJ Donaldson Jr.,RB,171,798,4.7,32,11
Nay'Quan Wright,RB,180,797,4.4,47,8
Ja'Quinden Jackson,RB,161,797,4.9,54,4
Kendall Milton,RB,121,790,6.5,51,14
Cameron Skattebo,RB,164,783,4.8,66,9
Kye Robichaux,RB,163,780,4.8,57,8
Garrett Greene,QB,120,772,6.4,48,13
Dean Connors,RB,121,771,6.4,57,7
Terion Stewart,RB,125,762,6.1,54,8
Vincent Davis Jr.,RB,145,760,5.2,69,7
Jordan James,RB,107,759,7.1,37,11
Alex Tecza,FB,126,758,6.0,75,5
Trevor Etienne,RB,131,753,5.7,62,8
Nicholas Singleton,RB,171,752,4.4,24,8
George Holani,RB,134,748,5.6,75,7
Jaylan Knighton,RB,136,745,5.5,95,7
Gavin Sawchuk,RB,120,744,6.2,64,9
Oscar Adaway III,RB,123,738,6.0,77,6
Haynes King,QB,120,737,6.1,71,10
Marion Lukes,RB,144,737,5.1,46,5
Darren Grainger,QB,159,736,4.6,65,10
Rahsul Faison,RB,118,736,6.2,60,5
Jacob Kibodi,RB,129,729,5.7,69,7
Kiael Kelly,QB,135,724,5.4,55,7
Tyrone Tracy Jr.,RB,113,716,6.3,62,8
Ja'Quez Cross,RB,128,716,5.6,66,7
Kevorian Barnes,RB,147,715,4.9,44,6
Zion Webb,QB,132,708,5.4,61,7
Mario Anderson,RB,143,707,4.9,75,3
Kanye Roberts,RB,123,696,5.7,61,7
Larry McCammon,RB,149,681,4.6,40,5
Roman Hemby,RB,142,680,4.8,40,4
Jaquez Moore,RB,116,674,5.8,58,6
Brennan Armstrong,QB,143,665,4.7,43,7
CJ Baxter,RB,138,659,4.8,54,5
Logan Diggs,RB,119,653,5.5,35,7
Star Thomas,RB,112,653,5.8,40,4
Cam Porter,RB,166,651,3.9,34,4
Treshaun Ward,RB,124,643,5.2,52,5
Lorenzo Lingard,RB,143,641,4.5,71,4
Kaelon Black,RB,142,637,4.5,57,1
Samson Evans,RB,142,635,4.5,61,12
Daniel Hishaw Jr.,RB,121,626,5.2,29,8
Henry Parrish Jr.,RB,100,625,6.3,38,6
Kadarius Calloway,RB,88,623,7.1,75,5
Torrance Burgess Jr.,RB,124,620,5.0,40,2
Camryn Edwards,RB,123,618,5.0,39,4
Abu Sama III,RB,84,614,7.3,77,6
Ron Cook Jr.,RB,148,609,4.1,36,6
Zac Larrier,QB,142,605,4.3,41,6
Dylan Sampson,RB,106,604,5.7,44,7
John Lee Eldridge III,RB,84,599,7.1,65,6
Billy Lucas,RB,114,597,5.2,43,6
Keshawn Wicks,RB,120,589,4.9,36,4
Robert Henry,RB,127,588,4.6,43,11
Demond Claiborne,RB,137,586,4.3,42,5
LJ Johnson Jr.,RB,108,576,5.3,67,4
Jaylon Jackson,RB,136,576,4.2,55,2
Zak Wallace,RB,126,575,4.6,41,6
Jacquez Stuart,RB,110,574,5.2,80,6
Jo'Quavious Marks,RB,121,573,4.7,52,4
Johnny Richardson,RB,87,573,6.6,79,1
Monte Watkins,RB,59,572,9.7,80,2
Ty Son Lawton,RB,126,568,4.5,28,5
Reggie Love III,RB,116,567,4.9,61,4
Shomari Lawrence,RB,125,566,4.5,67,4
Dequan Finn,QB,123,563,4.6,56,7
Jaylon Glover,RB,137,562,4.1,30,2
Emory Jones,QB,155,560,3.6,25,4
Roydell Williams,RB,111,560,5.0,48,5
Jordan Nubin,RB,127,559,4.4,21,3
Aaron Bedgood,WR,58,552,9.5,49,3
Tyre Shelton,RB,97,551,5.7,56,5
Victor Rosa,RB,112,550,4.9,71,3
Justice Ellison,RB,120,548,4.6,51,1
Rodney Hammond Jr.,RB,118,547,4.6,66,4
Gavin Garcia,RB,138,544,3.9,42,2
Ulysses Bentley IV,RB,95,540,5.7,43,4
Amari Daniels,RB,105,532,5.1,79,6
Jalen Milroe,QB,161,531,3.3,53,12
Jalen Mayden,QB,128,528,4.1,70,5
Sean Dollars,RB,151,527,3.5,33,6
Kanye Udoh,RB,99,524,5.3,23,1
Dominic Richardson,RB,125,519,4.2,32,1
LJ Martin,RB,109,518,4.8,55,4
Deshaun Fenwick,RB,96,515,5.4,38,5
Payton Thorne,QB,134,515,3.8,61,3
Dre'lyn Washington,RB,92,515,5.6,62,2
Mark Fletcher Jr.,RB,105,514,4.9,54,5
Tawee Walker,RB,102,513,5.0,30,7
Hunter Smith,RB,94,507,5.4,62,3
John Rhys Plumlee,QB,106,505,4.8,32,5
Dontae Smith,RB,100,504,5.0,70,4
Jai'Den Thomas,RB,108,503,4.7,46,12
Donovan Edwards,RB,119,497,4.2,46,5
Gavin Wimsatt,QB,131,497,3.8,80,11
Brendon Lewis,QB,120,495,4.1,31,4
Dylan Carson,RB,68,493,7.3,68,2
Zeon Chriss,QB,73,492,6.7,80,6
Gavin Williams,RB,95,488,5.1,53,3
Aidan Robbins,RB,101,485,4.8,36,1
Rahjai Harris,RB,129,485,3.8,50,5
Le'Veon Moss,RB,96,484,5.0,36,5
Rocko Griffin,RB,91,483,5.3,69,6
Donald Chaney Jr.,RB,94,478,5.1,29,2
Austin Jones,RB,85,477,5.6,37,7
Heinrich Haarberg,QB,120,477,4.0,72,5
Eli Sanders,RB,102,477,4.7,29,4
Jalon Jones,QB,110,476,4.3,58,4
Myles Bailey,RB,101,476,4.7,48,3
Jabari Small,RB,95,475,5.0,40,2
Elijah Young,RB,104,474,4.6,64,3
Zahir Abdus-Salaam,RB,123,470,3.8,19,5
Garrett Shrader,QB,113,469,4.2,39,8
Ron Wiggins,RB,92,468,5.1,37,6
Parker Jenkins,RB,99,464,4.7,31,3
Lawrance Toafili,RB,69,463,6.7,73,4
Kaleb Johnson,RB,117,463,4.0,67,3
Jaylen Thomas,RB,133,460,3.5,34,2
Donerio Davenport,RB,90,458,5.1,43,2
Donavyn Lester,RB,95,455,4.8,66,9
Kejon Owens,RB,80,453,5.7,47,5
O'Shaan Allison,RB,139,452,3.3,30,3
Anwar Lewis,RB,93,452,4.9,40,3
Drake Maye,QB,112,449,4.0,56,9
Jaylon Armstead,RB,103,448,4.3,48,8
Kentrel Bullock,RB,83,448,5.4,34,4
Isaiah Woullard,RB,98,447,4.6,44,1
KJ Jefferson,QB,161,447,2.8,26,2
Owen Burk,RB,81,439,5.4,39,3
Kaden Feagin,RB,95,438,4.6,25,2
Taylen Green,QB,78,436,5.6,70,9
Rodrigues Clark,RB,76,429,5.6,59,2
Myles Montgomery,RB,66,428,6.5,63,3
Donovan Smith,QB,138,428,3.1,35,6
Jaiden Credle,RB,90,427,4.7,71,2
Collin Schlee,QB,42,425,10.1,57,3
Robert Briggs Jr.,RB,80,420,5.3,58,2
Andrew Peasley,QB,110,419,3.8,43,7
Bill Jackson,RB,91,414,4.5,38,1
Anthony Grant,RB,104,413,4.0,34,3
Kobe Lewis,RB,85,412,4.8,75,3
Darvon Hubbard,RB,83,412,5.0,49,3
Emmett Johnson,RB,90,411,4.6,29,2
OJ Arnold,RB,75,411,5.5,39,4
Camar Wheaton,RB,83,410,4.9,48,5
Braydon Bennett,RB,91,407,4.5,21,5
Jaydon Blue,RB,65,398,6.1,69,3
Nicholas Vattiato,QB,139,397,2.9,30,2
Elijah Gilliam,RB,95,397,4.2,24,5
Perris Jones,RB,76,393,5.2,43,2
John Gentry,RB,119,391,3.3,28,3
Jaxson Dart,QB,119,391,3.3,68,8
Ta'ron Keith,RB,66,390,5.9,40,4
Vann Schield,RB,90,389,4.3,52,3
Jeremiyah Love,RB,71,385,5.4,36,1
Rueben Owens,RB,101,385,3.8,28,3
Kobe Pace,RB,125,382,3.1,22,1
Malachi Thomas,RB,83,381,4.6,35,2
Kenan Christon,RB,96,378,3.9,39,0
British Brooks,RB,74,375,5.1,53,2
Dillon Gabriel,QB,93,373,4.0,44,12
Chip Trayanum,RB,85,373,4.4,40,3
Jaylen Raynor,QB,123,373,3.0,62,5
DJ Williams,RB,85,372,4.4,19,5
Sedrick Alexander,RB,96,371,3.9,27,4
Ethan Vasko,QB,63,368,5.8,75,2
C'Bo Flemister,RB,98,367,3.7,38,2
Isaiah Ifanse,RB,70,365,5.2,26,7
Jase Bauer,QB,121,365,3.0,29,10
Mike Washington,RB,90,362,4.0,49,2
Ajay Allen,RB,70,361,5.2,30,5
Lee Beebe,RB,52,360,6.9,66,4
Seth Davis,RB,59,356,6.0,46,1
Trent Howland,RB,75,354,4.7,19,2
Riley Leonard,QB,58,352,6.1,44,4
Will Howard,QB,81,351,4.3,70,9
Michel Dukes,RB,63,350,5.6,30,2
Andrew Henry,RB,52,350,6.7,64,3
Damien Taylor,RB,67,346,5.2,45,1
Cartevious Norton,RB,87,343,3.9,49,3
Jamoni Jones,RB,87,343,3.9,24,3
Dawson Pendergrass,RB,79,338,4.3,31,5
Josh Henderson,RB,81,337,4.2,29,2
Ethan Payne,RB,83,335,4.0,64,1
Jambres Dubar,RB,62,335,5.4,24,2
Justin Lamson,QB,120,334,2.8,49,5
Ryan Montgomery,RB,54,329,6.1,29,1
Beau Pribula,QB,56,329,5.9,39,6
Terron Kellman,RB,82,328,4.0,18,1
Devon Dampier,QB,59,328,5.6,37,4
Patrick Smith,RB,79,327,4.1,40,2
Juma Otoviano,RB,92,326,3.5,24,4
Dan Villari,TE,55,326,5.9,38,2
Joquez Smith,RB,71,325,4.6,51,1
Mike Wright,QB,71,324,4.6,53,3
Frank Harris,QB,86,323,3.8,40,4
Jackson Acker,RB,72,322,4.5,33,2
Logan Smothers,QB,85,322,3.8,41,7
Hahsaun Wilson,RB,54,322,6.0,34,3
Nakia Watson,RB,89,321,3.6,17,4
Dylan Edwards,RB,76,321,4.2,34,1
Damari Alston,RB,64,320,5.0,56,2
Kevin Concepcion,WR,41,320,7.8,65,0
Brady Cook,QB,113,319,2.8,25,8
Anthony Hankerson,RB,78,319,4.1,20,1
Maquel Haywood,RB,60,318,5.3,31,2
Nathaniel Peat,RB,76,317,4.2,19,3
Sione Vaki,S,42,317,7.5,72,2
AJ Green,RB,67,312,4.7,55,2
Michael Wiley,RB,70,311,4.4,24,3
Justin Marshall,RB,57,311,5.5,21,2
Markese Stepp,RB,69,310,4.5,56,3
Kendrick Raphael,RB,67,309,4.6,31,1
Marcus Major,RB,78,308,3.9,19,1
Chez Mellusi,RB,51,307,6.0,89,4
Freddie Brock,RB,30,307,10.2,60,1
