,,,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,Other,Other,,-additional
Rk,Player,School,Conf,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
1,Jack Podlesny*,Georgia,SEC,15,0,0,0,0,0,0,0,0,73,26,0,0,151,jack-podlesny-1
2,Jake Moody*,Michigan,Big Ten,14,0,0,0,0,0,0,0,0,60,29,0,0,147,jake-moody-1
3,Will Reichard*,Alabama,SEC,13,0,0,0,0,0,0,0,0,64,22,0,0,130,will-reichard-1
4,Israel Abanikanda*,Pitt,ACC,11,20,1,0,0,0,0,0,21,0,0,1,0,128,israel-abanikanda-1
5,Tyjae Spears*,Tulane,American,14,19,2,0,0,0,0,0,21,0,0,0,0,126,tyjae-spears-1
6,Noah Ruggles*,Ohio State,Big Ten,13,0,0,0,0,0,0,0,0,74,17,0,0,125,noah-ruggles-1
7,Jared Sackett*,UTSA,CUSA,14,0,0,0,0,0,0,0,0,59,22,0,0,125,jared-sackett-2
8,Bijan Robinson*,Texas,Big 12,12,18,2,0,0,0,0,0,20,0,0,0,0,120,bijan-robinson-1
9,Mohamed Ibrahim*,Minnesota,Big Ten,12,20,0,0,0,0,0,0,20,0,0,0,0,120,mohamed-ibrahim-1
10,Denis Lynch*,USC,Pac-12,14,0,0,0,0,0,0,0,0,74,15,0,0,119,denis-lynch-1
11,Bert Auburn*,Texas,Big 12,13,0,0,0,0,0,0,0,0,55,21,0,0,118,bert-auburn-1
12,Chase McGrath*,Tennessee,SEC,13,0,0,0,0,0,0,0,0,70,16,0,0,118,chase-mcgrath-1
13,Jonah Dalmas*,Boise State,MWC,14,0,0,0,0,0,0,0,0,48,23,0,0,117,jonah-dalmas-1
14,Nathanial Vakos*,Ohio,MAC,14,0,0,0,0,0,0,0,0,49,22,0,0,115,nathanial-vakos-1
15,Peyton Henry*,Washington,Pac-12,13,0,0,0,0,0,0,0,0,58,19,0,0,115,peyton-henry-1
16,Blake Corum*,Michigan,Big Ten,12,18,1,0,0,0,0,0,19,0,0,0,0,114,blake-corum-1
17,DeWayne McBride*,UAB,CUSA,12,19,0,0,0,0,0,0,19,0,0,0,0,114,dewayne-mcbride-1
18,Jordan Mims*,Fresno State,MWC,14,18,1,0,0,0,0,0,19,0,0,0,0,114,jordan-mims-1
19,Christopher Dunn*,North Carolina State,ACC,13,0,0,0,0,0,0,0,0,30,28,0,0,114,christopher-dunn-1
20,Chris Howard*,Memphis,American,13,0,0,0,0,0,0,0,0,50,21,0,0,113,chris-howard-5
21,Griffin Kell*,TCU,Big 12,14,0,0,0,0,0,0,0,0,62,17,0,0,113,griffin-kell-1
22,Alex McNulty*,Buffalo,MAC,13,0,0,0,0,0,0,0,0,41,24,0,0,113,alex-mcnulty-1
23,Xazavian Valladay,Arizona State,Pac-12,12,16,2,0,0,0,0,0,18,0,0,2,0,112,xazavian-valladay-1
24,B.T. Potter*,Clemson,ACC,14,0,0,0,0,0,0,0,0,49,20,0,0,109,bt-potter-1
25,Nathaniel Dell*,Houston,American,13,0,17,0,0,1,0,0,18,0,0,0,0,108,nathaniel-dell-1
26,Tanner Brown*,Oklahoma State,Big 12,12,0,0,0,0,0,0,0,0,42,22,0,0,108,tanner-brown-1
27,Ethan Mooney*,North Texas,CUSA,14,0,0,0,0,0,0,0,0,54,18,0,0,108,ethan-mooney-1
28,Ben Sauls*,Pitt,ACC,13,0,0,0,0,0,0,0,0,47,20,0,0,107,ben-sauls-1
29,Collin Rogers*,SMU,American,13,0,0,0,0,0,0,0,0,58,16,0,0,106,collin-rogers-1
30,Camden Lewis*,Oregon,Pac-12,13,0,0,0,0,0,0,0,0,64,14,0,0,106,camden-lewis-1
31,Nicholas Barr-Mira*,UCLA,Pac-12,13,0,0,0,0,0,0,0,0,61,15,0,0,106,nicholas-barr-mira-1
32,Trey Wolff*,Texas Tech,Big 12,13,0,0,0,0,0,0,0,0,41,21,0,0,104,trey-wolff-1
33,Brayden Narveson*,Western Kentucky,CUSA,13,0,0,0,0,0,0,0,0,59,15,0,0,104,brayden-narveson-1
34,Alex Raynor*,Georgia Southern,Sun Belt,13,0,0,0,0,0,0,0,0,49,18,0,0,103,alex-raynor-1
35,Kendre Miller*,TCU,Big 12,14,17,0,0,0,0,0,0,17,0,0,0,0,102,kendre-miller-1
36,Brad Roberts*,Air Force,MWC,13,17,0,0,0,0,0,0,17,0,0,0,0,102,brad-roberts-1
37,Quinshon Judkins*,Ole Miss,SEC,13,16,1,0,0,0,0,0,17,0,0,0,0,102,quinshon-judkins-1
38,Noah Burnette*,North Carolina,ACC,14,0,0,0,0,0,0,0,0,57,15,0,0,102,noah-burnette-1
39,Ryan Coe*,Cincinnati,American,12,0,0,0,0,0,0,0,0,44,19,0,0,101,ryan-coe-1
40,Andre Szmyt*,Syracuse,ACC,13,0,0,0,0,0,0,0,0,40,20,0,0,100,andre-szmyt-1
41,Diego Guajardo*,South Alabama,Sun Belt,13,0,0,0,0,0,0,0,0,46,18,0,0,100,diego-guajardo-1
42,Harrison Mevis*,Missouri,SEC,13,0,0,0,0,0,0,0,0,33,22,0,0,99,harrison-mevis-1
43,Isaiah Bowser*,UCF,American,14,16,0,0,0,0,0,0,16,0,0,1,0,98,isaiah-bowser-1
