,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Illinois,13,12.8,16.4,31.9,51.3,173.8,0.7,30.4,99.8,3.3,0.5,62.3,273.5,4.4,8.2,5.2,2.0,15.3,4.9,46.5,0.6,1.8,2.5
2,Iowa,13,13.3,18.8,32.2,58.6,169.5,1.0,35.8,101.3,2.8,0.3,67.9,270.8,4.0,7.6,7.0,1.0,15.6,4.9,40.0,0.6,1.2,1.8
3,Air Force,13,13.4,13.1,22.4,58.4,159.1,0.8,28.2,95.3,3.4,0.8,50.5,254.4,5.0,7.0,5.5,0.5,12.9,4.5,32.0,0.5,0.7,1.2
4,Minnesota,13,13.8,17.6,30.2,58.3,185.7,0.6,28.9,109.0,3.8,0.8,59.2,294.7,5.0,8.4,6.1,0.8,15.3,4.9,41.4,0.3,1.1,1.4
5,Georgia,15,14.3,19.6,34.1,57.5,219.7,1.0,26.7,77.1,2.9,0.5,60.8,296.8,4.9,9.4,4.5,1.6,15.5,5.5,40.8,0.5,0.8,1.3
6,Marshall,13,16.0,16.7,32.4,51.5,201.5,0.9,32.2,93.0,2.9,0.8,64.6,294.5,4.6,8.2,5.2,1.9,15.4,5.6,51.6,0.8,1.4,2.2
7,Michigan,14,16.1,18.3,32.7,55.9,194.2,0.8,30.1,97.9,3.3,0.7,62.8,292.1,4.7,8.9,5.6,1.0,15.4,4.4,44.9,0.3,1.0,1.3
8,Troy,14,17.1,20.6,34.5,59.8,207.5,1.0,35.1,119.9,3.4,1.1,69.6,327.4,4.7,10.3,7.8,1.6,19.7,5.9,54.1,1.0,0.9,1.9
9,Alabama,13,18.2,18.3,33.4,54.8,187.8,0.9,35.9,130.4,3.6,1.2,69.3,318.2,4.6,8.8,7.2,2.6,18.5,6.7,51.0,0.5,0.5,1.1
10,Penn State,13,18.2,19.1,36.6,52.1,212.3,0.9,33.5,111.2,3.3,1.1,70.2,323.5,4.6,9.3,7.2,1.6,18.1,6.1,50.1,0.9,1.1,2.0
11,Kentucky,13,19.2,15.8,26.7,59.4,170.8,0.8,33.3,140.6,4.2,1.2,60.0,311.4,5.2,7.5,6.6,1.0,15.2,5.7,49.5,0.5,0.8,1.3
